file,n6_score,unique_n6_constants,keyword_hits,top_matches,suggested_grade
NOBEL-grand-hypotheses.md,1356,20,372,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
MASS-GEN-B-deep-scan.md,1019,15,320,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
EXTREME-algebra-category-logic.md,986,16,122,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
EXTREME-cross-connections.md,902,11,310,J2=24; n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-MED-001-030-medical.md,899,19,158,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-451-500-adversarial-stress-test.md,759,13,97,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
EXTREME-music-language-ai-games.md,750,17,126,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-CX-488-ramanujan-tau-6-expanded.md,722,13,190,1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-401-450-meta-connections.md,693,19,60,1/(sigma-phi)=0.1; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-251-300-universal-six.md,689,14,83,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
F7-domains-7-10-string-neuro-bridge-bitnet.md,610,15,143,1/(sigma-phi)=0.1; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-351-400-grand-synthesis.md,610,13,70,J2-tau=20; J2=24; n=6; phi^n=64; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-301-350-final-saturation.md,601,14,72,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-SPHERE-PACKING-perfect.md,601,12,157,J2=24; n=6; phi^n=64; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
EXTREME-cosmos-emergence-philosophy.md,583,20,108,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-DNA-131-170-folding-final-frontier.md,565,13,75,J2-tau=20; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-DNA-091-130-folding-ultimate.md,557,16,81,1/(sigma-phi)=0.1; J2-tau=20; J2=24; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
KISSING-numbers-n6-arithmetic.md,557,14,136,J2-tau=20; J2=24; n=6; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-171-210-molecular-saturation.md,542,15,64,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-MUSIC-001-015-acoustics.md,537,14,112,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; J2=24; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
SLE6-percolation-perfect-number.md,530,16,133,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*n=72; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
H-DNA-211-250-macro-biology.md,529,14,62,J2-tau=20; J2=24; n=6; phi/tau=0.5; phi^n=64; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
DEEP-sigma-phi-tau-28-geometry-topology.md,524,13,124,J2-tau=20; J2=24; n=6; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-CHEM-071-090-symmetry-deep.md,517,14,108,1/e=0.368; J2-tau=20; J2=24; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*n=72; sigma*tau=48; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
DEEP-mersenne-bootstrap-chain.md,514,13,131,J2-tau=20; J2=24; n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-INST-001-020-institutions.md,494,13,93,J2-tau=20; J2=24; n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-MED-027-030-deep-clinical-scales.md,462,14,63,1/(sigma-phi)=0.1; J2-tau=20; J2=24; n=6; phi/tau=0.5; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
BRIDGE-005-biochem-causal-chain.md,409,12,57,1/e=0.368; 16/27_Betz; J2-tau=20; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
